cohort,taxon,taxon_full,n_nonzero,alpha_hat,theta_hat,ks_gamma_p,ks_exp_p,gamma_better
KarlssonFH_2013,s__Bacteroides_uniformis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,137,0.9821217332046143,4.6619193741154366,0.5578745607170906,0.5559095622075401,True
KarlssonFH_2013,s__Roseburia_faecis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,130,0.5680631782614334,6.848969504629352,0.9898814873772975,0.0039527555897346245,True
KarlssonFH_2013,s__Anaerostipes_hadrus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,145,0.9397290265024365,3.7117546524970013,0.28265954787186587,0.19257825011332108,True
KarlssonFH_2013,s__Fusicatenibacter_saccharivorans,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,142,1.720693760521383,1.7456695345638817,0.21101412650748508,2.5260834132870504e-05,True
KarlssonFH_2013,s__Collinsella_aerofaciens,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,138,0.8552950937028166,3.3613665166820357,0.002632081725984503,0.024571790200548338,False
KarlssonFH_2013,s__Bifidobacterium_adolescentis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,104,0.6739621533539966,5.581895694863627,0.3804040508554045,0.028759717320109957,True
KarlssonFH_2013,s__Eubacterium_hallii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,144,1.9093425745184582,1.2613005250113565,0.7728141237105606,0.0010463369350723175,True
KarlssonFH_2013,s__Bacteroides_vulgatus,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,120,0.6639755819227268,4.105561872380096,0.8850843045394816,0.19176984080519466,True
KarlssonFH_2013,s__Akkermansia_muciniphila,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,119,0.48131590711506805,5.409708120878886,0.5883521118657145,1.3942158999694333e-06,True
KarlssonFH_2013,s__Dorea_longicatena,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,136,1.5258794980664803,1.4430652963030144,0.7661522386052053,0.018729287775619885,True
KarlssonFH_2013,s__Alistipes_putredinis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,127,1.1308883361991753,1.9953589728941654,0.5601142903223255,0.18956777745704578,True
KarlssonFH_2013,s__Ruminococcus_bicirculans,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans,108,0.5488617359000061,4.44210419318191,0.38332869024906735,0.0008394614446971538,True
KarlssonFH_2013,s__Coprococcus_eutactus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus,64,0.4003749488249408,9.827035676925714,0.658536935615009,0.0013320347856116133,True
KarlssonFH_2013,s__Eubacterium_sp_CAG_180,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180,48,0.5221707960638151,9.395648247628953,0.1768374733037945,0.07101204740726053,True
KarlssonFH_2013,s__Blautia_obeum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,143,0.856615152095288,1.7143157899167385,0.7671337120822508,0.5007568952447148,True
KarlssonFH_2013,s__Escherichia_coli,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,98,0.2908332974388071,7.319407253863947,4.243262062873203e-06,2.7231885163294965e-29,True
KarlssonFH_2013,s__Eubacterium_eligens,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,131,0.613284582392085,2.595656366128299,0.9553552683908256,0.016950087386915613,True
KarlssonFH_2013,s__Methanobrevibacter_smithii,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,74,0.6403181847957935,4.378892441347199,0.9341400438161714,0.07215892868813922,True
KarlssonFH_2013,s__Bacteroides_dorei,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,98,0.5572799420204062,3.5776340096525168,0.7817682781401039,0.003370962835013036,True
KarlssonFH_2013,s__Coprococcus_comes,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,132,1.6690539245770595,0.8821214890983335,0.1668283810835839,0.0007201289266164368,True
KarlssonFH_2013,s__Bifidobacterium_longum,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,126,1.1425978799254761,1.3114468833682436,0.8412665428342629,0.4479443151387923,True
KarlssonFH_2013,s__Butyrivibrio_crossotus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus,29,0.5165063228288959,11.736082254434015,0.8893232968331254,0.062069197192611614,True
KarlssonFH_2013,s__Ruminococcus_torques,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,118,1.0252278234768553,1.4167973707734183,0.7459902432896796,0.8008543860324484,False
